Text	Paraphrase
Tôi không thấy anh ta.	Tôi đã không nhìn thấy bạn.
Tôi không thấy điều đó.	Tôi đã không nhìn thấy nó.
Tôi đã không nhìn thấy anh ta.	Tôi không thể nhìn thấy.
Tôi chưa thấy điều đó.	Tôi đã không nhìn thấy điều đó.
Tôi sống gần đê.	Tôi sống cạnh một con đập.
Đây là con gái của tôi.	Cô ấy là bạn của tôi.
Bạn là bạn của tôi.	Anh ấy là bạn của tôi.
Cô ấy là con gái của tôi.	Cô ấy là một trong những người bạn của tôi.
Cô ấy là bạn tôi.	Đó là cô gái của tôi.
Bạn là bạn của tôi.	Anh ấy là đối tác của tôi.
Cô ấy là đối tác của tôi.	Bạn là bạn gái của tôi.
Cô ấy là bạn tôi.	Đây là bạn gái của tôi.
Bạn là bạn gái của tôi.	Đó là con gái của tôi.
Tôi không biết người đàn ông này là ai.	Tôi không biết người đó là ai.
Anh ấy tập chơi ghi-ta đến tận đêm khuya.	Anh ấy tập chơi guitar cho đến tận đêm khuya.
Tôi đã làm một cái bàn bằng gỗ.	Tôi đã làm một cái bàn gỗ.
Khung cảnh này thật tráng lệ.	Quan điểm là tuyệt vời.
Phong cảnh thật ngoạn mục.	Khung cảnh thật ngoạn mục.
Tôi không nói tiếng Pháp đủ tốt!	Anh ấy không thể nói tiếng Pháp tốt.
Anh ấy nói tiếng Pháp kém.	Tôi không giỏi nói tiếng Pháp lắm.
Tôi không thể nói tiếng Pháp tốt lắm.	Tiếng Pháp của tôi không đủ tốt.
Tôi không thể nói nhiều tiếng Pháp.	Tôi không phải là một người nói tiếng Pháp giỏi.
Bạn đã xem truyền hình tối nay?	Bạn đã xem TV tối nay?
Con trai tôi tin vào Ông già Noel.	Con trai tôi tin vào ông già Noel.
Nó đã rất đẹp.	Điều đó thật tuyệt.
Nó khá gọn gàng.	Đó là chặt chẽ.
Điều đó thật tuyệt vời.	Nó thật sự rất tốt.
Nó khá tuyệt.	Nó thực sự rất tuyệt.
Nó rất mát mẻ.	Đẹp thật.
Đó là năm mươi cây số đến Paris.	Đó là 50 km đến Paris.
Rất nhiều thiệp sinh nhật sẽ đến sớm.	Sẽ có rất nhiều thiệp sinh nhật được gửi đến sớm.
Tôi có thể bơi qua sông.	Tôi có thể bơi qua sông.
Bạn sẽ ở đây bao lâu?	Bạn định ở lại trong bao lâu?
Bạn sẽ ở đây bao lâu?	Bạn dự định ở lại bao lâu?
Cho đến khi bạn đang ở lại?	Bạn có định ở lại lâu không?
Bạn có định ở lại lâu dài không?	Bạn đã ở đó bao lâu?
Bạn đã ở đây từ khi nào vậy?	Bạn ở đây bao lâu?
Bạn ở đây bao lâu?	Bạn đã ở đây bao lâu rồi?
Bạn định ở lại đây bao lâu?	Bạn đã ở đó bao lâu?
Bạn muốn ở đây bao lâu?	Bạn muốn ở lại bao lâu?
Bạn sẽ ở lại bao lâu?	Tại sao bạn ở đó quá lâu?
Tôi thọc tay vào túi.	Tôi đút hai tay vào túi.
Cuộc giao tranh kéo dài một tuần.	Trận chiến kéo dài một tuần.
Xe của họ đã vượt qua xe của chúng tôi.	Xe của họ vượt qua chúng tôi.
Tất cả những gì bạn phải làm là nhấn nút này để chụp ảnh.	Bạn chỉ cần nhấn nút này để chụp ảnh.
Con sông cung cấp điện cho thị trấn.	Con sông cung cấp điện cho thành phố.
Nếu tôi là bạn, tôi sẽ bắt đầu ngay lập tức.	Nếu tôi là bạn, tôi sẽ bắt đầu ngay lập tức.
Lối vào ở đâu?	Lối vào ở đâu?
Tôi không bao giờ ăn thịt lợn.	Tôi là người ăn chay.
Tôi là người thuần chay.	Tôi không ăn thịt.
Tôi là một người ăn chay.	Tôi là người ăn chay.
Tôi là người ăn chay.	Tôi là một người thuần chay.
Vui lòng dùng Séc.	Vui lòng kiểm tra.
Làm ơn đưa hóa đơn cho tôi.	Cho tôi xin séc được không?
Tôi có thể có kiểm tra?	Vui lòng mang hóa đơn cho tôi.
Vui lòng cho tôi hóa đơn?	Bạn có thể mang cho tôi hóa đơn, xin vui lòng?
Người phục vụ, tôi có thể vui lòng kiểm tra không?	Người phục vụ, hóa đơn xin vui lòng.
Anh phục vụ, cho tôi xin hóa đơn được không?	Người phục vụ, xin vui lòng kiểm tra.
Cho tôi xin hóa đơn được không?	Xin vui lòng cho tôi có hóa đơn của tôi.
Người phục vụ, vui lòng kiểm tra.	Tôi muốn trả tiền, xin vui lòng.
Chị gái bạn khỏe không?	Em gái của bạn thế nào?
Làm thế nào mọi thứ đang diễn ra với em gái út của bạn?	Chị của bạn thế nào?
Mọi người thích nói - nói - nói.	Mọi người thích nói chuyện.
Mọi người thích nói chuyện.	những người thích nói chuyện nói chuyện và nói chuyện
Mọi người thích nói.	Mọi người thích nói chuyện.
Anh ấy vẫn im lặng trong suốt cuộc thảo luận này.	Anh ấy im lặng trong suốt cuộc thảo luận.
Bài hát làm tôi nhớ lại những ngày còn trẻ.	Bài hát đó làm tôi nhớ lại tuổi thơ của mình.
Bài hát này làm tôi nhớ lại những ngày còn trẻ.	Khi tôi nghe bài hát đó, tôi nghĩ về khi tôi còn trẻ.
Khi tôi nghe bài hát đó tôi nhớ tuổi trẻ của tôi.	Bài hát này làm tôi nhớ lại khi tôi còn trẻ.
Tòa nhà đó là gì?	Tòa nhà đó là gì?
Chờ cho đến khi đèn chuyển sang màu xanh lá cây.	Chờ cho đến khi đèn chuyển sang màu xanh lục.
Hôm nay nóng quá.	Hôm nay trời mát.
Hôm nay trời nóng kinh khủng.	Hôm nay trời khá ấm áp.
Hôm nay trời khá ấm áp.	Hôm nay trời đặc biệt nóng.
Hôm nay trời nóng khủng khiếp.	Hôm nay trời nóng.
Hôm nay trời nóng phải không?	Hôm nay nắng nóng kinh khủng.
Hôm nay trời khá ấm áp.	Hôm nay cực kỳ nóng.
Hôm nay rất ấm áp.	Hôm nay trời ấm.
Hôm nay trời nóng.	Nó thật sự nóng vào hôm nay.
Hôm nay trời khá ấm áp.	Hôm nay trời rất ấm áp.
Hôm nay thật bận rộn.	Hôm nay trời khá nóng.
Thật là một ngày nóng.	Hôm nay trời khá nóng.
Hôm nay là một ngày ấm áp.	Hôm nay là một ngày rất nóng.
Hôm nay trời khá nóng.	Hôm nay trời rất ấm áp!
Tôi có làn da khô.	Da tôi khô.
Anh kêu cứu.	Anh ta kêu cứu rất to.
Anh kêu cứu với một giọng lớn.	Cô hét lên để được giúp đỡ.
Anh mạnh mẽ kêu cứu để được giúp đỡ.	Anh nhờ giúp đỡ.
Cô kêu cứu.	Anh ấy đã yêu cầu giúp đỡ.
Anh hét lên để được giúp đỡ.	Anh hét lên để được giúp đỡ.
Họ đã có quan hệ tốt với hàng xóm của họ.	Họ có quan hệ tốt với hàng xóm của họ.
Con chó là của tôi.	Nó là con chó của tôi.
Bạn làm việc quá chăm chỉ.	Bạn đang làm việc quá sức.
Bạn đang làm việc quá sức.	Họ không sợ vất vả.
Bạn là một người nghiện công việc.	Họ làm việc chăm chỉ.
Bạn là một người nghiện công việc.	Bạn đang làm việc quá chăm chỉ.
Họ làm việc quá nhiều.	Bạn cố gắng quá sức.
Bạn đang cố gắng quá sức.	Bạn đã làm quá nhiều việc.
Tôi sẽ trả tiền cho bữa trưa của bạn ngày hôm nay.	Hôm nay tôi đang trả tiền cho bữa trưa của bạn.
Anh quyết tâm trở thành một bác sĩ.	Anh quyết tâm trở thành bác sĩ.
Tom không cần phải đi học ngày hôm nay.	Hôm nay Tom không phải đi học.
Tránh hút thuốc quá mức.	Xin đừng hút thuốc quá nhiều.
Đừng hút thuốc nhiều như vậy.	Đừng hút thuốc nhiều như vậy.
Vì lý do nào đó tôi cảm thấy sống động hơn vào ban đêm.	Vì lý do này hay lý do khác, tôi hoạt động nhiều hơn vào ban đêm.
Mở ra.	Làm ơn mở cửa ra.
Mở khóa cửa.	Anh ấy đã mở cửa.
Cô kéo cửa ra.	Bạn vui lòng mở cửa được không?
Anh kéo cửa ra.	Mở cửa!
Mở cửa ra.	Mở cổng.
Mở những cánh cửa này.	Mở cánh cửa này.
Mở những cánh cửa đó ra!	Mở cửa ra.
Mở khóa nó.	Anh mở cửa.
Anh ra mở cổng.	Mở!
Những cơn gió mạnh đang thổi.	Trời rất gió.
Có rất nhiều gió.	Trời rất gió.
Bạn có thai.	Bạn có thai.
Tôi chưa bao giờ nghe cô ấy hát.	Tôi chưa bao giờ nghe anh ấy hát.
Bạn thích môn thể thao nào?	Bạn thích môn thể thao nào nhất?
Môn thể thao yêu thích của bạn là gì?	Bạn thích môn thể thao nào nhất?
Bạn thích môn thể thao nào?	Bạn thích môn thể thao nào nhất?
Anh ấy biết chơi piano.	Cô ấy có thể chơi piano.
Anh ấy chơi đàn piano.	Anh ấy chơi piano.
Bạn có nghĩ rằng động vật có linh hồn?	Bạn có tin rằng động vật có linh hồn?
Bạn có đoán được tuổi của cô ấy không?	Bạn nghĩ cô ấy bao nhiêu tuổi?
Bill, trả lời cửa.	Bill, mở cửa.
Bạn đã viết thư cho ai?	Bạn đã viết thư cho ai?
Anh ấy sợ con chó.	Anh ấy sợ chó.
Anh ấy sợ những con chó.	Anh ấy sợ chó.
Nó sợ con chó đó.	Cô ấy sợ con chó này.
Tôi đã đợi cô ấy rất lâu.	Tôi đã đợi cô ấy mãi mãi.
Bạn bè của tôi mời tôi ăn tối.	Bạn bè đãi tôi một bữa ăn.
Bạn bè của tôi mời tôi ăn tối.	Bạn tôi mời tôi ra ngoài ăn tối.
Bạn học tiếng Ý ở đâu?	Anh ấy đã học tiếng Ý ở đâu?
Cô ấy đã học tiếng Ý ở đâu?	Bạn đã học tiếng Ý ở đâu?
Anh sang Mỹ với mục đích nghiên cứu văn học Mỹ.	Anh sang Mỹ học văn học Mỹ.
Sẽ rất nguy hiểm nếu bạn đi vào khu vực đó một mình.	Thật nguy hiểm khi đến đó một mình.
Nói hoàn toàn khác với làm.	Nói và làm là hai việc khác nhau.
Nói là một chuyện và làm một chuyện khác.	Nói là một chuyện, làm lại là chuyện khác.
Nói là một chuyện, còn làm lại là chuyện khác.	Lời hứa không lấp đầy dạ dày của bạn.
Dạ dày của bạn sẽ không đầy những lời hứa.	Một lời hứa là không đủ.
Nói thì dễ và làm thì khó.	Điều đó nói dễ hơn là làm.
Nói thì dễ nhưng làm thì không dễ chút nào.	Những lời hứa sẽ không bơ bất kỳ bánh mì nào.
Lời hứa là không đủ.	Một lời hứa là không đủ.
Thật thú vị khi chơi quần vợt.	Chơi quần vợt là rất nhiều niềm vui.
Quần vợt là vô số niềm vui.	Chơi quần vợt rất vui.
Hãy để tôi đi với bạn.	Cho phép tôi đi với bạn.
Hãy để tôi đi với bạn.	Cho phép tôi đi cùng bạn.
Xin lỗi, tôi có thể mở cửa sổ được không?	Xin lỗi nhưng bạn có phiền không nếu tôi mở cửa sổ?
Tôi có thể làm được nếu bạn cho tôi một cơ hội.	Tôi có thể làm điều đó nếu bạn cho phép tôi.
Những người mà tôi làm việc cùng đều rất tốt bụng.	Những người tôi làm việc cùng đều rất tốt bụng.
Anh ấy đọc báo mỗi sáng.	Cô ấy đọc báo mỗi sáng.
Cô ấy đọc một tờ báo mỗi sáng.	Mỗi sáng cô đọc báo.
Câu chuyện đó là truyền thuyết hộ gia đình.	Câu chuyện này rất nổi tiếng; mọi người đều biết điều đó.
Hôm qua chúng tôi đã có một buổi tối vui vẻ với anh em và bạn bè của tôi, và một bữa tiệc nướng rất ngon.	Chúng tôi đã có một buổi tối tuyệt vời vào ngày hôm qua với anh em và bạn bè của tôi, và thịt nướng cũng rất ngon.
Chúng tôi đang nhận được trên tỷ lệ đầu tiên.	Chúng tôi rất hợp nhau.
Chúng tôi đang làm rất tốt.	Chúng tôi rất hợp nhau.
Chúng tôi đang quản lý tất cả các quyền.	Chúng tôi rất hợp nhau.
Tôi lo lắng về sức khỏe của bạn.	Tôi lo lắng cho sức khỏe của anh ấy.
Tôi lo lắng về sức khỏe của anh ấy.	Tôi lo lắng cho sức khỏe của bạn.
Tôi lo lắng vì sức khỏe của anh ấy.	Tình hình sức khỏe của anh ấy làm tôi lo lắng.
Tôi rất quan tâm đến sức khỏe của bạn.	Tôi rất lo lắng cho sức khỏe của bạn.
Chúng tôi nói rằng chúng tôi biết, và làm chứng rằng chúng tôi đã thấy; và bạn không nhận được lời chứng của chúng tôi.	Chúng tôi nói những gì chúng tôi biết, và chúng tôi làm chứng cho những gì chúng tôi đã thấy, nhưng các người vẫn không chấp nhận lời khai của chúng tôi.
Một ngày nào đó, Hoa Kỳ sẽ bầu ra nữ tổng thống đầu tiên của mình và nước này sẽ vui mừng trong dịp đã quá lâu này.	Một ngày nào đó, Hoa Kỳ sẽ bầu ra nữ tổng thống đầu tiên của mình và sẽ có nhiều niềm vui trong dịp này.
Đây là một lá thư cho bạn.	Bạn có một thư.
Bạn có thư.	Bạn có thư.
Con mèo thích ngủ.	Một con mèo thích ngủ.
Như một quy luật, cô ấy là một người dậy sớm.	Ông thường dậy sớm.
Anh ấy thức dậy sớm.	Cô ấy là một người dậy sớm.
Anh ấy dậy sớm.	Cô ấy đã quen với việc dậy sớm.
Cô ấy dậy sớm.	Cô ấy đã quen với việc dậy sớm.
Bạn sẽ sớm quen với thời tiết lạnh giá này.	Tất cả các bạn sẽ quen với khí hậu lạnh ngay lập tức.
Anh ấy thích cam.	Cô ấy thích cam.
Ai sáng chế ra điện thoại?	Điện thoại được phát minh bởi ai?
Điện thoại được phát minh bởi Bell vào năm 1876.	Điện thoại được phát minh vào năm 1876 bởi Bell.
Có vẻ như ông Tanaka đã vượt qua kỳ thi.	Có vẻ như Tanaka đã vượt qua kỳ thi của cô ấy.
Tom đang sống ở Boston.	Tom sống ở Boston.
Tom đang ở lại Boston.	Tom vẫn ở Boston.
Sao anh dám nói thế?	Làm sao bạn dám nói một điều như vậy!
Bạn lấy đâu ra để nói với tôi điều đó?	Sao bạn dám nói với tôi một điều như vậy.
Tôi thích đi dạo dọc bờ sông.	Tôi thích đi bộ dọc bờ sông.
Không có gì là thánh.	Không có gì là thiêng liêng.
Người đàn ông này đang hét vào mặt tôi!	Anh chàng này đang hét vào mặt tôi.
Hóa đơn phải được thanh toán ngày hôm nay.	Hóa đơn vẫn phải được thanh toán ngày hôm nay.
Nếu đó là sai, cô ấy là một kẻ nói dối.	Nếu đó không phải là sự thật, cô ấy là một kẻ nói dối.
Bầu cho chúng tôi!	Chọn chúng tôi!
Tôi sẽ làm bài tập về nhà.	Tôi sẽ làm bài tập về nhà của tôi.
Ngôn ngữ nào khó nhất trên thế giới?	Trong tất cả các ngôn ngữ, ngôn ngữ nào khó nhất?
Tom không thể trả lời tất cả các câu hỏi.	Tom đã không quản lý để trả lời tất cả các câu hỏi.
Tôi chỉ đang tìm kiếm, cảm ơn bạn.	Tôi chỉ nhìn xung quanh.
Tôi chỉ tìm kiếm.	Tôi chỉ đơn giản là tìm kiếm.
Tôi đang nhìn xung quanh.	Cảm ơn bạn, tôi chỉ đang tìm kiếm.
Anh ấy có rượu.	Cô ấy có rượu.
Bạn có thể lái một chiếc xe hơi?	Bạn có thể lái xe?
Bạn có biết lái xe như thế nào không?	Anh ấy có thể lái xe không?
Các bài báo nói gì?	Báo chí sẽ nói gì?
Cảm ơn. Vui lòng làm.	"Cảm ơn. ""Không có gì."""
"Cảm ơn các bạn. ""Đừng nhắc tới."""	Cảm ơn rất nhiều! - Không có gì.
Tôi làm việc cho một bệnh viện.	Tôi làm việc trong bệnh viện.
Tom không thích nói về công việc của mình.	Tom không thích thảo luận về công việc của mình.
Chị gái tôi giỏi đánh máy.	Em gái tôi là một người đánh máy rất giỏi.
Anh ấy vẫn còn trẻ.	Cô ấy trẻ làm sao!
Bạn còn trẻ.	Anh ấy vẫn còn trẻ.
Cô ấy vẫn còn trẻ.	Anh ấy còn trẻ.
Cô ấy trẻ.	Nó còn trẻ.
Họ còn trẻ.	Bạn còn trẻ.
Anh ấy còn trẻ.	Cô ấy còn trẻ.
Bạn trẻ như thế nào!	Họ còn trẻ.
Anh đến muộn 30 phút.	Anh đến trễ nửa tiếng.
Anh ấy có thể nói một chút tiếng Anh.	Anh ấy nói tiếng Anh một chút.
Anh ấy có kiến ​​thức về tiếng Anh.	Cô hầu như không nói được một từ tiếng Anh nào.
Anh ấy không thể nói nhiều tiếng Anh.	Anh ấy hầu như không thể nói được tiếng Anh nào.
Anh ấy nói một chút tiếng Anh.	Cô ấy hầu như không nói được tiếng Anh.
Sức khỏe tốt hơn của cải.	Tiền bạc không thể mua được hạnh phúc.
Sức khỏe quan trọng hơn sự giàu có.	Sức khỏe quan trọng hơn tiền bạc.
Hạnh phúc không chỉ đơn giản là giàu có.	Anh ấy giàu có nhưng anh ấy không hạnh phúc.
Đối với tất cả sự giàu có của mình, anh ta không hạnh phúc.	Sự giàu có không phải lúc nào cũng mang lại cho chúng ta hạnh phúc.
Người ta không mua được hạnh phúc.	Tiền không mua được hạnh phúc.
Sức khỏe hơn của cải.	Hạnh phúc không thể mua được.
Bất chấp tất cả sự giàu có của mình, anh ta không hề hạnh phúc.	Mặc dù anh ta có rất nhiều tiền, nhưng anh ta không hạnh phúc.
Bạn không thể mua được hạnh phúc.	Anh ấy giàu, nhưng anh ấy không hạnh phúc.
Bạn không thể ăn tiền.	Mặc dù anh ta giàu có, nhưng anh ta không hạnh phúc.
Dù có tiền nhưng anh ta không hạnh phúc.	Bất chấp sự giàu có của mình, anh ta không hề hạnh phúc.
Hạnh phúc không thể mua được.	Anh ta có rất nhiều tiền, nhưng anh ta không hạnh phúc.
Không ai đến.	Không có ai đến.
Không có ai đến.	Không ai xuất hiện.
Không ai xuất hiện.	Không ai đến.
Không ai từng đến.	Sẽ không có ai đến.
Anh ấy đang đá tôi!	Anh ấy đang đá tôi!
Cam rất giàu vitamin C.	Cam có nhiều vitamin C.
Cam chứa nhiều vitamin C.	Cam là một nguồn vitamin C tốt.
Bạn đã có điện thoại di động chưa?	Bạn có điện thoại di động không?
Bạn có điên thoại không?	Cô ấy có điện thoại không?
Món súp này có vị như thế nào?	Món súp có ngon không?
Tôi đã không chơi quần vợt ngày hôm qua.	Hôm qua tôi đã không chơi quần vợt.
cafe của bạn thế nào?	Bạn đã lấy cà phê như thế nào?
Đừng ghét những gì bạn không hiểu!	Đừng ghét một cái gì đó mà bạn không hiểu.
Họ đun nước pha trà.	Họ đang đun nước pha trà.
Bước vào phòng, tôi thấy cô ấy đang chơi piano.	Khi tôi bước vào phòng, cô ấy đang chơi piano.
Đây không phải là xe của tôi.	Đây không phải xe của tôi.
Chiếc xe này không thuộc về tôi.	Chiếc xe này không phải của tôi.
Ta là bố của con.	Tôi là cha của bạn.
Bạn rất dũng cảm.	Bạn đã có rất nhiều can đảm.
Bạn co rât nhiêu căng thẳng!	Bạn đã có rất nhiều dây thần kinh.
Bạn rất can đảm.	Bạn thật hào hiệp.
Bạn quá lo lắng.	Bạn rất dũng cảm.
Bạn là một người dũng cảm.	Bạn thật dũng cảm!
Bạn thật can đảm!	Bạn rất can đảm.
Bạn thật dũng cảm.	Bạn thực sự dũng cảm.
Một, ba và năm là số lẻ.	Và 1, 3, 5 là số lẻ.
Tôi nghĩ rằng bạn đã sai.	Tôi nên nghĩ rằng bạn đang ở trong sai.
Theo tôi, bạn đã sai.	Theo tôi, anh ấy đã sai.
Theo tôi, bạn đã sai.	Tôi nghĩ bạn đã sai.
